claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"Recording consent requirements vary by location, customer location, and industry, and consent should be handled before content review.","Short answer; Put Consent And Retention Before Ideation","official product documentation","src-001",high,"child orchestrator 5/5",supported,"Gong consent documentation directly supports variation and consent options."
C002,"Zoom asks participants to provide consent when they join a meeting already being recorded or when the host starts recording.","Put Consent And Retention Before Ideation","official product documentation","src-002",high,"child orchestrator 5/5",supported,"Zoom consent documentation supports the product behavior."
C003,"Companies should limit sensitive data access and retain it only while there is a business reason.","Short answer; Put Consent And Retention Before Ideation","government business guidance","src-005",high,"child orchestrator 5/5",supported,"FTC business guidance supports data retention and access principles."
C004,"Sales calls include sensitive context such as names, buying stage, budget pressure, contract language, integrations, security concerns, and private objections.","Treat Sales Calls As Inputs Not Copy","operating POV","src-005;src-006",medium,"child orchestrator 5/5",supported,"Supported as privacy-sensitive operational risk, not a statistical claim."
C005,"Useful sales-call content inputs include buyer questions, objections, customer language, proof requests, and explanation moments.","Capture Five Reusable Inputs","editorial operating POV","src-007",medium,"child orchestrator 5/5",supported,"LinkedIn source supports customer questions and evidence-backed points of view; input categories are Sell In Public editorial judgment."
C006,"Different sales-call inputs can route into different employee post types by role.","Capture Five Reusable Inputs","editorial operating POV","src-008",medium,"child orchestrator 5/5",supported,"Internal broader article supports employee expertise routing context; no performance claim made."
C007,"Gong privacy settings cover capture, storage, sharing, retention, redaction, deletion, and exclusion settings for calls, emails, transcripts, and metadata.","Put Consent And Retention Before Ideation","official product documentation","src-006",high,"child orchestrator 5/5",supported,"Gong data protection documentation supports the operational controls."
C008,"Teams should remove customer identifiers, deal details, private data, roadmap context, security review details, and personal data before drafting a public post from a call.","Abstract The Call Before Drafting","privacy operating recommendation","src-005;src-006",high,"child orchestrator 5/5",supported,"FTC and Gong docs support confidentiality, access, redaction, deletion, and privacy controls."
C009,"The safer content idea keeps the teaching pattern and removes private customer context.","Abstract The Call Before Drafting","editorial operating POV","src-005;src-007",medium,"child orchestrator 5/5",supported,"Supported by privacy guidance and LinkedIn question/evidence framing."
C010,"The right employee voice is the person closest to the lesson and able to defend the point if a buyer asks a follow-up question.","Route The Idea To The Employee With Standing","editorial operating POV","src-008",medium,"child orchestrator 5/5",supported,"Internal broader article supports standing and employee expertise context."
C011,"HubSpot and Microsoft document call recordings, transcripts, summaries, notes, action items, keywords, timelines, and associated CRM records as sales-call artifacts.","Use CRM Notes Without Publishing CRM Details","official product documentation","src-003;src-004",high,"child orchestrator 5/5",supported,"HubSpot and Microsoft documentation directly support the CRM and call-summary artifact claims."
C012,"CRM notes should be used as a sorting layer for themes, not copied straight into public employee content.","Use CRM Notes Without Publishing CRM Details","editorial operating recommendation","src-003;src-004;src-005",medium,"child orchestrator 5/5",supported,"Combines tool artifact docs with privacy guidance."
C013,"LinkedIn content guidance points teams toward customer questions, clear definitions, consistent terminology, and evidence-backed points of view.","Use CRM Notes Without Publishing CRM Details","official platform guidance","src-007",medium,"child orchestrator 5/5",supported,"Used as platform-adjacent guidance, not a performance claim."
