claim_id,claim,location,type,evidence_type,source_ids,risk,owner,status,notes
C001,"Good employee-generated content turns firsthand work into public learning and is judged by whether it teaches from real work rather than redistributing company copy.","Direct answer","definition","internal-pov","src-008","medium","Sell In Public","supported","Internal category definition; written as editorial POV, not third-party fact."
C002,"Clay's public article on growth marketing bets shows the reasoning behind team decisions.","Clay section","example","external-source","src-001","low","Sell In Public","supported","First-party company source."
C003,"Lovable has a first-party growth story and public video library that show narrative, product teaching, and community-facing education near each other.","Lovable section","example","external-source","src-002|src-003","medium","Sell In Public","supported","Used as a pattern example, not causal revenue proof."
C004,"GitLab maintains a public handbook that makes employee and company knowledge available as a durable reference asset.","GitLab section","example","external-source","src-004","low","Sell In Public","supported","First-party company source."
C005,"Shopify Engineering publishes technical articles that turn internal engineering context and system decisions into public learning.","Shopify section","example","external-source","src-005|src-006","low","Sell In Public","supported","First-party company sources."
C006,"Google Search Central's helpful content guidance asks publishers to create useful, reliable, people-first content with original value.","Quality bar section","factual","external-source","src-007","low","Sell In Public","supported","Official guidance source."
C007,"Strong examples should expose buyer-useful expertise, inspectable public URLs, and reusable patterns rather than only showing engagement or impressions.","Pattern synthesis","recommendation","internal-pov","src-008","medium","Sell In Public","supported","Internal POV; no external performance promise. Not surfaced as a standalone checklist in final article."
C008,"Kareem Amin's public LinkedIn posts show Clay's founder narrative around narrative work, community stories, and GTM category work.","Clay section","example","public-linkedin-post","src-009|src-010","low","Sell In Public","supported","Used as inspectable public post examples; no engagement or performance claim."
C009,"Anton Osika's public LinkedIn post connects Lovable product usage to a category narrative around people with customer knowledge building products.","Lovable section","example","public-linkedin-post","src-011","low","Sell In Public","supported","Used as an inspectable public post example; no engagement or performance claim."
C011,"Farhan Thawar's public LinkedIn post gives a short engineering heuristic that fits Shopify Engineering's longer-form technical content pattern.","Shopify section","example","public-linkedin-post","src-012","medium","Sell In Public","supported","Used as a light short-form example while the primary Shopify evidence remains first-party engineering articles."
