claim_id,claim,location,type,evidence_type,source_ids,risk,owner,status,notes
C001,"Employee-generated content can appear successful by impressions while failing to produce buyer learning, sales reuse, or revenue evidence.","Intro","interpretation","internal-pov","src-010","medium","Sell In Public","supported","Editorial POV; not a statistical claim."
C002,"A practical measurement model should layer impressions with buyer-fit engagement, conversation quality, pipeline influence, sales reuse, and search or AI visibility.","Short answer","recommendation","internal-pov","src-010","medium","Sell In Public","supported","Measurement model is Sell In Public editorial POV."
C003,"Gartner describes B2B buying as a nonlinear set of buying jobs including problem identification, solution exploration, requirements building, and supplier selection.","Start With The Content Job","factual","external-source","src-007","low","Sell In Public","supported","Source directly names the four buying jobs."
C004,"Employee-generated content may help one buying job before it appears as a form fill or booked call.","Start With The Content Job","interpretation","internal-pov","src-007|src-010","medium","Sell In Public","supported","Inference from Gartner buying task framing plus editorial POV."
C005,"LinkedIn member post analytics can include discovery, in-network and out-of-network activity, profile activity, social engagement, link engagement, and post viewer demographics depending on post type.","Keep Reach, But Demote It","factual","external-source","src-001","low","Sell In Public","supported","Current LinkedIn Help documentation."
C006,"LinkedIn Page content analytics include highlights and metrics for Page content over filtered time ranges.","Keep Reach, But Demote It","factual","external-source","src-002","low","Sell In Public","supported","Current LinkedIn Marketing Solutions Help documentation."
C007,"LinkedIn notes that a member's own views, social engagements, link engagements, saves, and sends count toward their content analytics.","Measure Buyer Signals Before Conversion","factual","external-source","src-001","low","Sell In Public","supported","Current LinkedIn Help documentation."
C008,"For employee-generated content, buyer-fit reactions, questions, replies, clicks, and sales reuse are stronger proof than raw reach alone.","Measure Buyer Signals Before Conversion","recommendation","internal-pov","src-010","medium","Sell In Public","supported","Editorial recommendation; no benchmark claim."
C009,"Google Analytics says UTM parameters such as utm_source, utm_medium, and utm_campaign help identify campaigns that refer traffic and should be used consistently.","Tie Posts To Pipeline Carefully","factual","external-source","src-005","low","Sell In Public","supported","Current Google Analytics Help documentation."
C010,"Assisted influence should be separated from direct source attribution because content can help a deal without being the sole reason it exists.","Tie Posts To Pipeline Carefully","recommendation","internal-pov","src-010","medium","Sell In Public","supported","Editorial recommendation; avoids unsupported causality."
C011,"Google Search Console's Performance report can show queries, pages, clicks, impressions, CTR, and average position for Google Search.","Track Search And AI Visibility","factual","external-source","src-006","low","Sell In Public","supported","Current Google Search Console Help documentation."
C012,"A May 2026 LinkedIn Marketing Solutions article says Meltwater analyzed 9.5 million AI citations across six models, found LinkedIn was second behind YouTube in that study, and reported that 75% of LinkedIn citations came from individual member profiles.","Track Search And AI Visibility","factual","external-source","src-008","medium","Sell In Public","supported","Use as AI visibility context only; not a promise for any team."
C013,"A useful weekly measurement board should force decisions about what to repeat, rewrite, retire, reuse, or expand.","Use A Weekly Measurement Board","recommendation","internal-pov","src-010","medium","Sell In Public","supported","Editorial POV; no external performance promise."
