claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"Virio's official site describes the company as a content engine for vertical SaaS companies and outlines a workflow with a content expert, agentic research, weekly strategy review, approval, and posting.","Short answer; What Virio says it does; Virio row","official company website","src-001","high","Sell In Public","supported","Describe as Virio positioning, not independent performance proof."
C002,"Virio's public LinkedIn company page says Virio is building an AI marketer that writes LinkedIn content for every employee at a company, and lists San Francisco, privately held, founded in 2025, and 11-50 employees.","Short answer; What Virio says it does; ghostwriting comparison","official LinkedIn company page","src-002","high","Sell In Public","supported","Public profile details only."
C003,"Virio's public site says the service uses a content engineer, agentic deep research, GTM strategy review, approval, and publishing for the customer.","Virio description; AI tools comparison; managed outbound comparison","official company website","src-001","high","Sell In Public","supported","No self-reported Virio outcome metrics repeated."
C004,"Virio's public pages position it around employee-generated content, AI LinkedIn content, and profile-native content for B2B teams.","What Virio says it does; advocacy comparison","synthesis from official Virio pages","src-001;src-002","medium","Sell In Public","supported","Interpretive synthesis from official Virio language."
C005,"The main alternatives to Virio are AI LinkedIn content tools, founder or executive ghostwriting agencies, employee advocacy platforms, and managed LinkedIn plus outbound services.","Short answer; service models","category synthesis","src-003;src-004;src-005;src-006","medium","Sell In Public","supported","Category framing, not a ranked vendor list."
C006,"Taplio's official page describes AI-powered content creation, post scheduling, engagement insights, advanced analytics, and a Chrome extension for LinkedIn insights.","AI tools comparison","official product page","src-003","high","Sell In Public","supported","Named only as category example."
C007,"YellowInk's LinkedIn ghostwriting page describes voice work, weekly post writing, profile support, a content calendar, approval before publishing, and reporting.","Ghostwriting comparison","official agency page","src-004","high","Sell In Public","supported","Named only as category example."
C008,"Sprout Social describes Employee Advocacy as helping employees share brand content, stay aligned with pre-approved copy, and report on results.","Advocacy comparison","official product page","src-005","high","Sell In Public","supported","Named only as category example."
C009,"SalesBread's official site describes a done-for-you B2B lead generation service using personalized LinkedIn messages and warm email.","Managed outbound comparison","official agency website","src-006","high","Sell In Public","supported","Named only as category example."
C010,"The right provider depends on employee scale, founder voice, AI assistance, sales handoff, measurement, and internal review load.","Short answer; how to choose","Sell In Public editorial synthesis","src-001;src-003;src-004;src-005;src-006","medium","Sell In Public","supported","Fit guidance based on category differences."
C011,"LinkedIn and Edelman reported in 2025 that 56% of target buyers and 55% of hidden buyers use thought leadership as part of vendor evaluation.","How to choose","primary research summary","src-007","high","Sell In Public","supported","Buyer-context statistic only; not a vendor performance claim."
