query_id,source_id,source_type,source_record_id,query,normalized_query,canonical_query_key,intent,funnel_stage,audience,pillar_id,topic_id,surface,country,language,observed_at,page_url,device,volume,difficulty,impressions,clicks,ctr,avg_position,trend_delta,trend_window,confidence,evidence_use,allowed_public_use,raw_path,notes
dq-0001,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|bing_copilot|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,what is employee-generated content,what is employee-generated content,employee-generated content,definition,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,bing_copilot,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's B2B infrastructure, governance, workflow, enablement, and measurement angle.. Recommended action: Add an answer-first definition block plus source-friendly B2B infrastructure, governance, enablement workflow, and measurement sections near the top of the target page.."
dq-0002,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|chatgpt|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,what is employee-generated content,what is employee-generated content,employee-generated content,definition,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,chatgpt,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's infrastructure, governance, and repeatable operating-system angle for B2B teams.. Recommended action: Add a concise answer-first definition block, EGC versus UGC comparison, and B2B operating-system framing near the top of the target page.."
dq-0003,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|google_ai_overview|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,what is employee-generated content,what is employee-generated content,employee-generated content,definition,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,google_ai_overview,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's B2B infrastructure, governance, measurement, and repeatable operating-system angle.. Recommended action: Add an answer-first EGC definition block, EGC versus UGC comparison, and source-friendly B2B governance, measurement, and infrastructure sections near the top of the target page.."
dq-0004,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|google_search|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,what is employee-generated content,what is employee-generated content,employee-generated content,definition,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,google_search,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Indexed answer-first definition is missing from live SERPs, so Sell In Public does not appear for the head term.. Recommended action: investigate."
dq-0005,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|chatgpt|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,employee-generated content examples b2b,employee-generated content examples b2b,employee-generated content examples b2b,examples,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,chatgpt,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's infrastructure, governance, enablement, workflow, and measurement angle for turning B2B employee examples into a repeatable system.. Recommended action: Add a concise source-friendly B2B examples section with concrete employee post archetypes, before-and-after examples, and notes on infrastructure, approval workflow, enablement prompts, and measurement.."
dq-0006,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|google_ai_overview|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,employee-generated content examples b2b,employee-generated content examples b2b,employee-generated content examples b2b,examples,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,google_ai_overview,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's B2B infrastructure, governance, enablement, measurement, and repeatable program design angle.. Recommended action: Add a source-friendly examples section that directly answers the B2B examples query, with scenario-based examples for sales, customer success, product, executives, and SMEs, then connect those examples to governance, prompts, approvals, measurement, and business outcomes.."
dq-0007,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|google_search|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,employee-generated content examples b2b,employee-generated content examples b2b,employee-generated content examples b2b,examples,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-definition,google_search,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Sell In Public has B2B examples in the article, but they are not discoverable in live search and there is no standalone examples page.. Recommended action: expand."
dq-0008,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|google_ai_overview|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,measure employee-generated content beyond impressions,measure employee-generated content beyond impressions,measure employee-generated content beyond impressions,measurement,unknown,b2b_gtm_operator,pillar-measurement-learning,topic-measure-egc-beyond-impressions,google_ai_overview,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's infrastructure, governance, enablement workflow, repurposing-loop, and source-of-truth measurement angle.. Recommended action: Add an answer-first KPI ladder for measuring EGC beyond impressions, tying tracked links, engaged accounts, attributed pipeline, candidate source quality, qualitative feedback, and repurposing yield to governance, CRM/ATS attribution, and repeatable reporting.."
dq-0009,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|google_search|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,measure employee-generated content beyond impressions,measure employee-generated content beyond impressions,measure employee-generated content beyond impressions,measurement,unknown,b2b_gtm_operator,pillar-measurement-learning,topic-measure-egc-beyond-impressions,google_search,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: The hub page has a measurement section, but the market is routing measurement intent to broader EGC guides because no dedicated Sell In Public page is live.. Recommended action: expand."
dq-0010,ai-citation-log-2026-06-20,manual_ai_prompt_export,2026-06-18|chatgpt|https://sellinpublic.co/blog/employee-generated-content-infrastructure/,employee-generated content vs employee advocacy,employee-generated content vs employee advocacy,employee-generated content employee advocacy,comparison,unknown,b2b_gtm_operator,pillar-employee-generated-content,topic-egc-vs-advocacy,chatgpt,US,en,2026-06-18,https://sellinpublic.co/blog/employee-generated-content-infrastructure/,,,,,,,,,,medium,discovery_only,none,analytics/ai_citation_log.csv,"AI citation observation. Missing angle: Missing Sell In Public's infrastructure thesis: prompts, governance, workflows, enablement, measurement, and repeatable publishing systems for B2B EGC.. Recommended action: Add an answer-first EGC versus employee advocacy comparison block and tie it to EGC infrastructure for governed, measurable B2B employee expertise publishing.."
