claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"LinkedIn's AI-search guidance recommends building LinkedIn content around customer questions and pulling those questions from sales and customer success conversations.","Build The System Around Sales Inputs","platform guidance","src-001","high","Sell In Public editorial","supported","Use for source capture workflow."
C002,"LinkedIn's AI-search guidance recommends employees with hands-on experience, clear point of view, consistent terms, and standalone readable paragraphs.","Choose Voices / Repurpose The Best Answers","platform guidance","src-001","high","Sell In Public editorial","supported","Use to support role expertise and clarity."
C003,"LinkedIn's Page guidance says companies that post weekly see a 2x lift in engagement with their content.","Turn The Calendar Into A Sales Workflow","platform guidance","src-002","medium","Sell In Public editorial","supported","Phrase as LinkedIn-stated platform guidance, not universal promise."
C004,"LinkedIn's Page guidance includes scheduling posts and re-sharing mentions from employees, executives, and key customers.","Turn The Calendar / Comments And Replies","platform guidance","src-002","high","Sell In Public editorial","supported","Used for scheduling and mention workflow."
C005,"LinkedIn member post analytics include impressions, members reached, profile viewers, followers gained, reactions, comments, reposts, saves, sends, link visits, and viewer demographics; LinkedIn says some numbers are estimates.","Measure Signals Sales Can Use","platform documentation","src-003","high","Sell In Public editorial","supported","Use to define platform signals and limits."
C006,"LinkedIn Page content analytics include impressions, engagement rate, aggregate metrics over 30 days, and individual-post metrics.","Measure Signals Sales Can Use","platform documentation","src-004","high","Sell In Public editorial","supported","Use for Page measurement."
C007,"Heike Young's public Microsoft EGC post describes an employee-generated content program with agency, tools, strategy, pillars, market moments, key dates, and upcycling to brand accounts.","Public Example","public LinkedIn example","src-005","medium","Sell In Public editorial","supported","Example artifact only, not performance proof."
C008,"Chris Cunningham's public ClickUp post describes multiple employees creating LinkedIn content and gives a sales solutions engineer as a role-based example.","Public Example","public LinkedIn example","src-006","medium","Sell In Public editorial","supported","Example artifact only, not performance proof."
C009,"Employee-generated content starts with employee expertise rather than a company-approved message for redistribution.","Choose Voices / Review For Risk","internal article","src-007|src-008","medium","Sell In Public editorial","supported","Internal conceptual support."
C010,"The recommendation to connect LinkedIn posts to owned pages, outbound, and sales enablement is Sell In Public editorial POV supported by internal cluster posts and LinkedIn guidance.","Repurpose The Best Answers","editorial interpretation","src-001|src-008|src-010|src-011","medium","Sell In Public editorial","supported","No performance promise implied."
