claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"Meltwater and LinkedIn analyzed 9.5 million AI citations across B2B categories and six major models.","Short answer / Why LinkedIn belongs","primary research","src-001|src-002","high","Sell In Public editorial","supported","Use as core evidence for LinkedIn as a signal surface."
C002,"LinkedIn's research summary says LinkedIn was the second most-cited source after YouTube in the analyzed AI citations.","Why LinkedIn belongs","platform-hosted research summary","src-001","medium","Sell In Public editorial","supported","Phrase as the research summary's finding, not universal truth across all AI systems."
C003,"The same LinkedIn summary says 75% of LinkedIn citations came from individual member profiles and 25% came from Company Pages.","Why LinkedIn belongs","platform-hosted research summary","src-001","high","Sell In Public editorial","supported","Use to support employee voice emphasis."
C004,"The LinkedIn summary says articles and plain text posts made up 83% of citations in the study.","Why LinkedIn belongs","platform-hosted research summary","src-001","medium","Sell In Public editorial","supported","Use carefully; do not generalize beyond study."
C005,"LinkedIn's June 2026 post says Semrush analyzed 89,000 unique LinkedIn URLs cited by ChatGPT Search, Google AI Mode, and Perplexity.","Why LinkedIn belongs","platform-hosted research summary","src-003","medium","Sell In Public editorial","supported","Secondary to source's stated study, not independently verified in Semrush report."
C006,"Google says AI Overviews and AI Mode surface relevant links and may use query fan-out across subtopics and data sources.","Owned answer surface","official documentation","src-004","high","Sell In Public editorial","supported","Supports crawlable owned answer page argument."
C007,"Google's generative AI optimization guide says foundational SEO best practices remain relevant and content should be crawlable, useful, and unique.","Owned answer surface","official documentation","src-005","high","Sell In Public editorial","supported","Avoid using public Google QA rubric language in body copy."
C008,"Kiplinger argues that standard LinkedIn posts can be weak for AI search because they often lack authority, citation networks, depth, and coherence.","LinkedIn-only caveat","expert commentary","src-006","medium","Sell In Public editorial","supported","Use as caveat source, not primary research."
C009,"LinkedIn says generic AI-generated content with little perspective is less likely to be widely distributed beyond a person's immediate network.","LinkedIn-only caveat","official platform communication","src-007","high","Sell In Public editorial","supported","Useful for anti-generic-content point."
C010,"Employee-generated content starts from employee expertise, not redistributed company copy.","Employee expertise section","internal article","src-009|src-010","medium","Sell In Public editorial","supported","Internal conceptual claim."
C011,"The LinkedIn-to-owned-page operating loop is Sell In Public editorial POV rather than a measured performance claim.","Operating loop","editorial interpretation","src-001|src-004|src-005|src-009","medium","Sell In Public editorial","supported","No metrics implied."
