claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"Clay University publishes a Claybook for tracking job changes for customer champions, including a named creator, template link, tools used, and workflow steps.","Clay Makes Workflows Reusable","external-source","src-001","high","Sell In Public","supported","Directly visible on the Claybook page."
C002,"The Claybook page connects the public workflow to help paths including Slack support and Clay experts.","Clay Makes Workflows Reusable","external-source","src-001","high","Sell In Public","supported","Used to support the feedback or support route in the loop."
C003,"Clay's public SEO and AEO article explains internal growth work and systems thinking from the Clay team.","Clay Makes Workflows Reusable","external-source","src-002","high","Sell In Public","supported","Used as a public systems artifact, not performance proof."
C004,"Lovable Launched was introduced as a public surface where builders could submit apps for discovery and voting.","Lovable Makes Builder Activity Visible","external-source","src-003","high","Sell In Public","supported","Directly visible in Lovable's announcement."
C005,"Lovable quick-start docs say users can remix projects with public remixing enabled, their own projects, or projects they can access.","Lovable Makes Builder Activity Visible","external-source","src-004","high","Sell In Public","supported","Official docs."
C006,"Lovable project access docs say public remixing lets someone copy the latest version without editing the original, and that viewers can see source code when remixing is enabled.","Lovable Makes Builder Activity Visible","external-source","src-005","high","Sell In Public","supported","Official docs."
C007,"Lovable's April 2026 incident post says public project chat history and source code were no longer accessible to other users and that public projects were being moved private except for official remixable templates.","Lovable Makes Builder Activity Visible","external-source","src-006","high","Sell In Public","supported","Used as public correction artifact."
C008,"GitLab TeamOps shared reality describes public-by-default knowledge sharing and a bias toward transparency across business functions.","GitLab Makes Operating Knowledge Durable","external-source","src-007","high","Sell In Public","supported","GitLab handbook page."
C009,"GitLab handbook development docs point to handbook editing guidance and the public handbook repository.","GitLab Makes Operating Knowledge Durable","external-source","src-008","high","Sell In Public","supported","GitLab handbook page."
C010,"GitLab communication guidance describes handbook pages as part of the handbook and the handbook as the central repository for how the company runs.","GitLab Makes Operating Knowledge Durable","external-source","src-009","high","Sell In Public","supported","GitLab handbook page."
C011,"This post deepens the existing employee-generated content examples cluster without duplicating the examples article.","The Loop Is The Asset","internal-context","src-010","medium","Sell In Public","supported","Internal cluster context."
C012,"Employee-generated content infrastructure is the internal operating model context for this article.","What Revenue Teams Can Adapt","internal-context","src-011","medium","Sell In Public","supported","Internal link context only."
C013,"LinkedIn content infrastructure for B2B sales is the revenue-team application context for this article.","What Revenue Teams Can Adapt","internal-context","src-012","medium","Sell In Public","supported","Internal link context only."
