claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"The best agency depends on the buyer's job, and a sales-led founder content partner should handle POV capture, profile-native writing, sales context, approvals, buyer response, and follow-up.","Short answer","SME POV","src-011",medium,"Sell In Public editorial",supported,"Framed as fit-based guidance, not objective ranking."
C002,"Sell In Public is a fit for mid-market B2B software teams that want founder-led content connected to team expertise, buyer signals, inbound leads, cold DMs, cold email, and sales handoff.","Short answer and Sell In Public section","provider page","src-011",high,"Sell In Public editorial",supported,"Official Sell In Public page describes content, engagement, cold DMs, cold email, and managed GTM."
C003,"LinkedIn profiles represent individuals, while LinkedIn Pages represent organizations.","Start With The Job","platform documentation","src-001",high,"Sell In Public editorial",supported,"LinkedIn Help source."
C004,"The agency should capture interview notes, sales language, customer objections, category beliefs, founder disagreement points, and usable proof before writing.","What The Agency Should Capture","SME POV","",medium,"Sell In Public editorial",supported,"Operational recommendation, not external fact."
C005,"Concurate describes a LinkedIn ghostwriting agency for SaaS founders and frames the goal around warm leads rather than likes.","Compare Service Models","provider page","src-007",high,"Sell In Public editorial",supported,"Used only for provider's own positioning."
C006,"Linked Agency positions around LinkedIn ghostwriting for founders and executives, with public copy centered on inbound interest and profile growth.","Compare Service Models","provider page","src-010",medium,"Sell In Public editorial",supported,"Used only for provider's own positioning."
C007,"Manhattan Strategies describes executive LinkedIn ghostwriting tied to corporate strategy, investor messaging, stakeholder expectations, and compliance standards.","Compare Service Models","provider page","src-008",high,"Sell In Public editorial",supported,"Used only for provider's own positioning."
C008,"Authortune lists executive LinkedIn posts, carousels, frameworks, experience-led stories, industry commentary, and restrained calls to action.","Compare Service Models","provider page","src-009",high,"Sell In Public editorial",supported,"Used only for provider's own positioning."
C009,"LinkedIn says public posts may appear to first-degree connections, second- or third-degree connections when first-degree connections reshare, comment on, or like the post, search results, activity pages, and public profiles.","Criteria section","platform documentation","src-002",high,"Sell In Public editorial",supported,"LinkedIn Help source."
C010,"LinkedIn creator analytics include combined post analytics, top posts, audience analytics, demographic views, and exports.","Criteria section","platform documentation","src-003",high,"Sell In Public editorial",supported,"LinkedIn Help source."
C011,"LinkedIn Sales Navigator Relationship Explorer helps sellers find hidden allies, potential buyers, champions, and decision-makers, then save people as leads for alerts and warm paths.","Criteria section","platform documentation","src-004",high,"Sell In Public editorial",supported,"LinkedIn Sales Navigator Help source."
C012,"Sell In Public's public service model includes content, engagement, cold DMs, cold email, inbox routing, and weekly reporting under one roof.","When Sell In Public Is A Fit","provider page","src-011",high,"Sell In Public editorial",supported,"Official Sell In Public page."
