claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"A B2B employee-generated content policy should define posting scope, disclosure, confidential information, customer names, claim support, review paths, platform rules, and support contacts.","Short answer","policy synthesis","src-001;src-002;src-003;src-004;src-005;src-006;src-008;src-009;src-010","high","Sell In Public editorial","supported","Synthesizes direct requirements and examples from official guidance and public policy examples."
C002,"Employee-generated content programs need rules for disclosure, customer references, confidential information, claims, and review before employees post.","Intro","policy synthesis","src-001;src-003;src-005;src-009;src-010","high","Sell In Public editorial","supported","Operational synthesis from source set."
C003,"Stanford's public social media guidelines split social media use into institutional use, departmental use, and personal employee use and route official engagement through communications leadership.","Start With Scope","first-party policy example","src-009","high","Sell In Public editorial","supported","Public policy example."
C004,"Intel tells employees not to create accounts with Intel in the handle and asks employees posting about Intel work or related industry news to identify their relationship and add a personal-opinion disclaimer.","Start With Scope","first-party policy example","src-005","high","Sell In Public editorial","supported","Public policy example."
C005,"FTC guidance treats employment, personal, family, or financial relationships as possible material connections that may need disclosure when endorsing a product on social media.","Disclosure","government guidance","src-001","high","Sell In Public editorial","supported","Official FTC guidance."
C006,"FTC staff says companies that pay and direct endorsers need reasonable training and monitoring programs and can face liability for deceptive endorsements or missing required disclosures.","Disclosure","government guidance","src-002","high","Sell In Public editorial","supported","Official FTC staff guidance."
C007,"LinkedIn Professional Community Policies require disclosure when members share or endorse something in exchange for personal benefit such as relationships, payment, free products, or other value.","Disclosure","platform policy","src-003","high","Sell In Public editorial","supported","Official LinkedIn policy."
C008,"Intel tells employees external communications should not contain classified or proprietary information and not to post trade secret or proprietary information marked confidential, classified, top secret, or internal only.","Green Yellow Red","first-party policy example","src-005","high","Sell In Public editorial","supported","Public policy example."
C009,"Stanford tells employees not to disclose proprietary or protected information, including intellectual property, operating plans, vendor communications, financial data, internal presentations, correspondence, and personally identifiable information.","Green Yellow Red","first-party policy example","src-009","high","Sell In Public editorial","supported","Public policy example."
C010,"Coca-Cola HBC's Digital Ethics Code covers transparency, privacy, copyrights and trademarks, sensitive and confidential information, authority to speak, and accountability for online actions.","Green Yellow Red","first-party policy example","src-010","high","Sell In Public editorial","supported","Public policy example."
C011,"LinkedIn Advertising Policies say ad claims must have factual support and advertisers should not make deceptive or inaccurate claims about competitive products or services.","Claims","platform policy","src-004","high","Sell In Public editorial","supported","Official LinkedIn ad policy."
C012,"Intel's social media guidelines tell social media practitioners to substantiate product and service claims and cite approved original information when needed.","Claims","first-party policy example","src-005","high","Sell In Public editorial","supported","Public policy example."
C013,"The SEC says companies can use social media for key announcements under Regulation FD when investors have been alerted which channels will be used, and company social posts can require Regulation FD analysis.","Claims","government guidance","src-007","high","Sell In Public editorial","supported","Official SEC guidance."
C014,"The NLRB says employees have the right to address work-related issues and share information about pay, benefits, and working conditions with coworkers and a union, including through protected concerted social media activity.","Employee Rights","government guidance","src-006","high","Sell In Public editorial","supported","Official NLRB guidance."
C015,"The NLRB says social media activity is not protected if it includes egregiously offensive conduct, knowingly and deliberately false statements, or public disparagement of products or services without relation to a labor controversy.","Employee Rights","government guidance","src-006","high","Sell In Public editorial","supported","Official NLRB guidance."
C016,"The EEOC defines harassment as unwelcome conduct based on protected characteristics and says employers should communicate that harassment will not be tolerated, provide complaint processes, and take appropriate action when employees complain.","Employee Rights","government guidance","src-008","high","Sell In Public editorial","supported","Official EEOC guidance."
C017,"LinkedIn Professional Community Policies cover true identity, accurate information, false or misleading content, harassment and hate, spam, and disclosure for personal benefit.","Platform Rules","platform policy","src-003","high","Sell In Public editorial","supported","Official LinkedIn policy."
C018,"LinkedIn Advertising Policies include rules on prohibited content, discrimination, deceptive claims, factual support, trademarks, copyright, privacy, sensitive data, and partnership disclosures.","Platform Rules","platform policy","src-004","high","Sell In Public editorial","supported","Official LinkedIn ad policy."
C019,"A review-lane model can keep low-risk profile content moving while routing customer, legal, HR, security, finance, public-company, or regulated content to specialists.","Review Lanes","Sell In Public editorial judgment","src-001;src-003;src-004;src-005;src-006;src-007;src-008;src-009;src-010","medium","Sell In Public editorial","supported","Operational recommendation synthesized from the policy risks identified in primary sources."
