claim_id,claim,location,type,evidence_type,source_ids,risk,owner,status,notes
C001,"Sprout Social's 2026 Social Media Content Strategy Report says consumers want brands to make human-generated content their top priority.","Intro evidence paragraph","statistic","external-source","src-001","medium","Sell In Public","supported","Used as broader social-content context, not as a direct employee-generated content performance study."
C002,"LinkedIn and Edelman reported that 55% of hidden buyers use thought leadership during vendor evaluation.","Intro evidence paragraph","statistic","external-source","src-002","high","Sell In Public","supported","Directly supports the buyer-research rationale for useful expertise."
C003,"LinkedIn and Edelman reported that 63% of hidden buyers spend more than an hour per week consuming thought leadership.","Why Human Expertise Matters In B2B Content","statistic","external-source","src-002","high","Sell In Public","supported","Directly supports the hidden-buyer context."
C004,"The Edelman and LinkedIn 2025 B2B Thought Leadership Impact Report says 71% of hidden decision-makers view strong thought leadership as more effective than conventional marketing or sales materials at showing potential value.","Why Human Expertise Matters In B2B Content","statistic","external-source","src-003","high","Sell In Public","supported","Used as thought-leadership context, not as a claim about employee-generated content alone."
C006,"Clay says user-generated content is one of its major growth drivers.","Clay example","example","external-source","src-005","medium","Sell In Public","supported","Used as a related content-loop example."
C007,"Clay describes a loop where users share outputs they created and gain recognition for the work.","Clay example","example","external-source","src-005","medium","Sell In Public","supported","Used to illustrate shareable practitioner output."
C008,"Lovable says it grew from an open-source project to $10M ARR in two months, with community and content playing a key role.","Lovable example","example","external-source","src-006","medium","Sell In Public","supported","Company self-report used as a named public example."
C009,"Lovable maintains a public video library with tutorials, product demonstrations, user stories, and build walkthroughs.","Lovable example","example","external-source","src-007","medium","Sell In Public","supported","Used as a public example library, not as performance proof."
C010,"GitLab describes its handbook as the central repository for how the company runs, with more than 2,000 pages of text and an open contribution model.","GitLab example","example","external-source","src-008","high","Sell In Public","supported","Used as a public documentation example."
C011,"Employee-generated content should teach through real employee expertise rather than repackaging company announcements.","Short answer and simple test","editorial-pov","editorial","src-009","high","Sell In Public","supported","Core editorial definition."
C012,"Employee advocacy usually distributes company-approved content through employee accounts, while employee-generated content starts with the employee's own perspective or work product.","What Counts As Employee-Generated Content and FAQ","definition","mixed","src-011;src-009","high","Sell In Public","supported","LinkedIn supports the advocacy definition; editorial POV supplies the category distinction."
C013,"Employee-generated content should be measured by usefulness signals such as saves, comments, qualified replies, source-linked traffic, recurring questions, and answer-engine visibility, not impressions alone.","How To Measure Employee-Generated Content","measurement-guidance","editorial","src-009","medium","Sell In Public","supported","Editorial measurement guidance."
C014,"Google Search Central's helpful content guidance asks publishers to show first-hand expertise, add original value, and leave readers feeling they learned enough to achieve their goal.","What Good Employee-Generated Content Has In Common","quality-guidance","external-source","src-010","medium","Sell In Public","supported","Used as a quality bar, not an employee-generated content case study."
C015,"Shopify Engineering describes context sharing as a habit that helps developers understand the why, what, and how behind technical choices.","How To Turn Employee Expertise Into Useful Content","example","external-source","src-012","medium","Sell In Public","supported","Used as an example of expertise capture and context sharing."
C016,"Shopify Engineering's resilient payment systems article turns years of payments infrastructure lessons into practical tips for other builders.","How To Turn Employee Expertise Into Useful Content","example","external-source","src-013","medium","Sell In Public","supported","Used as a field-note example."
C017,"LinkedIn's employee advocacy guidance emphasizes sustainable, organic, voluntary participation from employees who have a real reason to participate.","How To Measure Employee-Generated Content","definition","external-source","src-011","medium","Sell In Public","supported","Supports the point that not every employee should be forced into publishing."
