claim_id,claim_text,draft_location,claim_type,support_type,source_ids,confidence,owner,status,notes
C001,"Teams should review employee-generated content in two separate passes: risk first, then clarity and voice.","Short answer","operating-guidance","editorial-pov","src-001;src-002;src-004","medium","Sell In Public","supported","Workflow is Sell In Public editorial POV supported by official accuracy, disclosure, and platform-policy context."
C002,"Every review comment should name the reason for the change, and preference-only edits should be avoided.","Short answer","operating-guidance","editorial-pov","","medium","Sell In Public","supported","Editorial process claim, not external fact."
C003,"Review kills employee voice when reviewers each rewrite toward their own goal until the employee's specific language and judgment disappear.","Why Review Kills Employee Voice","operating-guidance","editorial-pov","src-007;src-009","medium","Sell In Public","supported","Editorial POV tied to existing EGC cluster."
C004,"The FTC Endorsement Guides cover endorsements in promotional contexts, require endorsements to reflect honest opinion or experience, warn against distortion when rewording, and call for guidance and monitoring around misleading claims and unexpected material connections.","Run The Risk Pass Before The Voice Pass","regulatory-context","external-source","src-001","high","Sell In Public","supported","Official eCFR source."
C005,"LinkedIn's Professional Community Policies tell members not to share false or misleading content and call for clear notice when endorsing something in exchange for personal benefit.","Run The Risk Pass Before The Voice Pass","platform-policy","external-source","src-004","high","Sell In Public","supported","Official LinkedIn policy."
C006,"Allowed change-type labels make review more precise by forcing reviewers to name the job each edit is doing.","Give Reviewers Allowed Change Types","operating-guidance","editorial-pov","","medium","Sell In Public","supported","Editorial process claim."
C007,"The employee's standing comes from their role lens, concrete situation, tradeoff, caveat, real phrasing, and buyer-relevant warning.","Preserve The Employee's Standing","operating-guidance","editorial-pov","","medium","Sell In Public","supported","Editorial process claim."
C008,"FTC staff guidance says endorsement guidance is context-specific and does not provide a safe harbor from potential liability.","Handle Legal And Regulated Review Without Corporate Rewrite","regulatory-context","external-source","src-003","high","Sell In Public","supported","Official FTC staff guidance."
C009,"FINRA guidance reminds financial-services firms that business-related social media and digital communications can raise recordkeeping, supervision, suitability, and content requirements.","Handle Legal And Regulated Review Without Corporate Rewrite","regulatory-context","external-source","src-005;src-006","high","Sell In Public","supported","Official FINRA notices."
C010,"The rewrite test asks whether a sentence could appear under any employee's name; if so, the edit likely removed too much employee-specific judgment.","Use The Rewrite Test","operating-guidance","editorial-pov","","medium","Sell In Public","supported","Editorial process claim."
C011,"A review checklist should name the source, run a risk pass, tag requested changes, preserve standing, reject preference edits, and read the final post as the employee.","Copyable Review Checklist","operating-guidance","editorial-pov","src-001;src-002;src-004;src-005;src-006","medium","Sell In Public","supported","Checklist uses source-backed risk categories plus editorial process."
C012,"Review moves faster when the draft ships with a source file that records the employee's role, work moment, proof point, removed customer details, claims needing approval, and phrases to preserve.","Make Review Faster With Better Raw Material","operating-guidance","editorial-pov","src-007;src-009","medium","Sell In Public","supported","Editorial process claim tied to existing capture and infrastructure posts."
