claim_id,claim_text,draft_location,support_type,source_ids,confidence,owner,status,notes
C001,"Every employee should not be expected to publish original LinkedIn posts; B2B teams should use role-based participation based on credibility, buyer proximity, comfort, and risk.","Short answer; Use a role-based participation model","Sell In Public operating POV","src-007;src-008;src-009","medium","Sell In Public","supported","POV grounded in existing category model and platform participation context, not framed as a statistical claim."
C002,"LinkedIn describes employee advocacy as a strategic, sustainable program that encourages employees to share brand values and messages organically.","Short answer; Employee-generated content and employee advocacy are different decisions","official guidance","src-001","medium","Sell In Public","supported","Older LinkedIn source, used only for definition and principles."
C003,"LinkedIn Help says Page admins can notify employees about important Page posts, employees can react, comment, or reshare after clicking the preview, employees can opt out, and admins can notify employees once per day.","Who should participate without publishing","official documentation","src-002","high","Sell In Public","supported","Feature mechanics and participation options."
C004,"LinkedIn Help says public shared posts can appear in connections' feeds, followers' feeds, content search results, the member's Activity page, the member's public profile, and other sites off LinkedIn when visibility settings allow it.","Why a company-wide posting mandate usually fails","official documentation","src-003","high","Sell In Public","supported","Supports professional-public-presence point."
C005,"LinkedIn Help describes a LinkedIn profile as a professional landing page and personal storyboard where people can show who they are, what they stand for, and what they are interested in.","Why a company-wide posting mandate usually fails","official documentation","src-004","high","Sell In Public","supported","Supports profile/professional-brand context."
C006,"Employee-generated content starts with firsthand employee expertise; employee advocacy coordinates employee participation around a company, team, or market message.","Employee-generated content and employee advocacy are different decisions","internal category definition","src-007;src-008;src-009","medium","Sell In Public","supported","Internal category distinction."
C007,"LinkedIn Help says individual post analytics can include views, social engagements, link engagements, saves, and sends, and that only the author can view post analytics.","Measure buyer signals, not employee compliance","official documentation","src-005","high","Sell In Public","supported","Supports analytics ownership and measurement advice."
C008,"The 2025 Edelman-LinkedIn research summary says 56% of target buyers and 55% of hidden buyers use thought leadership as part of vendor evaluation.","Measure buyer signals, not employee compliance","primary research summary","src-006","high","Sell In Public","supported","Used as buyer-context rationale only, not a posting-performance claim."
C009,"A credible LinkedIn participation model should allow employees to publish, comment, reshare with context, send privately, contribute raw expertise, or sit out depending on role fit.","Use a role-based participation model; Decision framework","Sell In Public operating POV","src-002;src-007;src-008;src-009","medium","Sell In Public","supported","Derived from platform participation options and internal category model."
C010,"Forced posting quotas and copy-paste reshare programs are weaker than selective, context-led participation for preserving employee voice.","Why a company-wide posting mandate usually fails; How to decide who sits out","Sell In Public operating POV","src-001;src-003;src-004","medium","Sell In Public","supported","POV framed as operating advice, not as a sourced performance statistic."
