claim_id,claim_text,draft_location,claim_type,support_type,source_ids,confidence,owner,status,notes
C001,"Founder posts usually get low engagement on LinkedIn because the post is written for the company instead of the buyer.","Short answer","diagnostic","sme","src-009","medium","Sell In Public","supported","Sell In Public operating POV, not an external statistical claim."
C002,"Common causes include a weak first line, company news with no buyer stakes, no original point of view, thin comments, no employee distribution loop, weak profile context, inconsistent cadence, and measuring likes when the real goal is buyer relevance.","Short answer","diagnostic","sme","src-009","medium","Sell In Public","supported","Sell In Public diagnostic framework."
C003,"Teams should fix reader relevance, first line, founder judgment, comment planning, employee and seller context, and buyer-relevance measurement before asking the founder to post more.","Short answer","recommendation","sme","src-009","medium","Sell In Public","supported","Recommendation from SME notes."
C004,"Relevant comments, saves, sends, profile visits, and target-account replies are better diagnostic signals than likes alone when founder content is meant to create buyer conversations.","Short answer","measurement-guidance","platform-docs;sme","src-001;src-009","medium","Sell In Public","supported","LinkedIn documents the metrics; weighting is Sell In Public POV."
C005,"LinkedIn member post analytics include impressions, in-network and out-of-network exposure, members reached, profile viewers, followers gained, reactions, comments, reposts, saves, sends, link visits, and viewer demographics, and LinkedIn says these numbers are estimates.","Low Engagement Usually Means The Wrong Reader","platform-status","external-source","src-001","high","Sell In Public","supported","Current LinkedIn Help documentation."
C006,"A buyer-led first line should name the target buyer's problem, pressure, or decision rather than opening with internal founder or company context.","The First Line Has To Earn The Right Buyer","recommendation","sme","src-009","medium","Sell In Public","supported","Sell In Public POV."
C007,"The 2025 Edelman-LinkedIn report surveyed 1,934 U.S. business executives and found that 64% of hidden decision-makers and 63% of target decision-makers spend more than one hour per week consuming expertise content as defined by the report.","The First Line Has To Earn The Right Buyer","statistic","external-source","src-008","high","Sell In Public","supported","Used for buyer context only."
C008,"LinkedIn Page guidance says not every post should be about the business or product and recommends point-of-view posts on timely or debated topics.","Company News Needs Buyer Stakes","platform-guidance","external-source","src-007","medium","Sell In Public","supported","LinkedIn Marketing Blog guidance for Pages; article qualifies relevance."
C009,"LinkedIn profiles represent individuals, while LinkedIn Pages represent organizations.","The Founder Needs A Point Of View","platform-status","external-source","src-003","high","Sell In Public","supported","Current LinkedIn Help documentation."
C010,"LinkedIn says public posts may appear to first-degree connections, second- or third-degree connections after first-degree engagement, topic search results, activity pages, and public profiles.","Comments Are Part Of Distribution","platform-status","external-source","src-005","high","Sell In Public","supported","Current LinkedIn Help documentation."
C011,"A founder-post team loop should collect field objections and role expertise before publishing, then use employees and sellers to add context after publishing.","The Team Loop Is Missing","operating-guidance","sme","src-009","medium","Sell In Public","supported","Sell In Public operating POV."
C012,"Founder-led content and employee-generated content work together when the founder sets the market stance and employees make the company's expertise easier to inspect.","The Team Loop Is Missing","operating-guidance","sme;internal-link-context","src-009","medium","Sell In Public","supported","Sell In Public POV, internally linked to EGC infrastructure."
C013,"LinkedIn says feed systems use profile details, viewed content, and platform interactions to surface relevant posts and reduce weak or unsafe content.","Profile Context And Page Context Are Different","platform-status","external-source","src-006","high","Sell In Public","supported","Current LinkedIn Help documentation."
C014,"LinkedIn Page analytics include Page-specific metrics such as impressions, engagement rate, clicks, reactions, comments, and reposts, and LinkedIn defines Page engagement rate as interactions divided by impressions.","Profile Context And Page Context Are Different","platform-status","external-source","src-004","high","Sell In Public","supported","Current LinkedIn Help documentation."
C015,"LinkedIn combined post analytics let members review content performance across selected date ranges, compare impressions and engagements, see in-network and out-of-network exposure, review top posts, and export data.","Diagnose Low Founder Engagement","platform-status","external-source","src-002","high","Sell In Public","supported","Current LinkedIn Help documentation."
C016,"Impressions matter, but B2B teams should also inspect whether the right buyers are seeing, saving, sending, replying to, and reusing founder posts in sales conversations.","Diagnose Low Founder Engagement","measurement-guidance","platform-docs;sme","src-001;src-002;src-009","medium","Sell In Public","supported","LinkedIn documents metrics; scoring priority is Sell In Public POV."
C017,"If a founder post creates fewer likes but more useful buyer conversations, the operating system is improving; if it gets peer applause and no buyer movement, the audience is still off.","What To Change Next Week","interpretation","sme","src-009","medium","Sell In Public","supported","Sell In Public POV."
